Event	ID	Name			Wwise Object Path	Notes
	7365553	Footsteps_Grass			\Default Work Unit\Footsteps_Grass	
	169930784	Play_VOX_Wolf			\Default Work Unit\VOICES\WOLF\Play_VOX_Wolf	
	269164602	Place_Tombstone			\Default Work Unit\Place_Tombstone	
	307640020	Footsteps_Stone			\Default Work Unit\Footsteps_Stone	
	381303321	Play_SFX_UI_Deny			\Default Work Unit\UI\Play_SFX_UI_Deny	
	445985471	Dig			\Default Work Unit\Dig	
	572867318	Take_Flower			\Default Work Unit\Take_Flower	
	921440522	Metalgate_Open			\Default Work Unit\Metalgate_Open	
	1565032450	Footsteps_Dirt			\Default Work Unit\Footsteps_Dirt	
	1578778902	Footsteps_Ghost			\Default Work Unit\Footsteps_Ghost	
	1603442012	Play_SFX_UI_Choose			\Default Work Unit\UI\Play_SFX_UI_Choose	
	1709289826	Stop_VOX_Banshee			\Default Work Unit\VOICES\BANSHEE\Stop_VOX_Banshee	
	1732241522	Footsteps_Wood			\Default Work Unit\Footsteps_Wood	
	1860438862	MetalGate_Close			\Default Work Unit\MetalGate_Close	
	2274964804	Play_SFX_UI_Overlap			\Default Work Unit\UI\Play_SFX_UI_Overlap	
	2321459623	Play_SFX_UI_Accept			\Default Work Unit\UI\Play_SFX_UI_Accept	
	2561686776	Play_VOX_Banshee			\Default Work Unit\VOICES\BANSHEE\Play_VOX_Banshee	
	2863552425	Craft			\Default Work Unit\Craft	
	3585906227	Take_TreeBranch			\Default Work Unit\Take_TreeBranch	
	3680743520	Take_Rock			\Default Work Unit\Take_Rock	
	3703337933	Day_Music			\Default Work Unit\Day_Music	
	4047140117	Play_SFX_UI_Validate			\Default Work Unit\UI\Play_SFX_UI_Validate	
	4055567060	Menu_Music			\Default Work Unit\Menu_Music	
	4122134662	Stop_VOX_Wolf			\Default Work Unit\VOICES\WOLF\Stop_VOX_Wolf	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4720212	SFX_UI_DENY_02	F:\GitHub\HappyDeath_Unity\HappyDeath_Unity_WwiseProject\.cache\Windows\SFX\SFX_UI_DENY_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\SFX_UI_Deny\SFX_UI_DENY_02		47112
	6995056	VOX_Banshee_Ono_07	F:\GitHub\HappyDeath_Unity\HappyDeath_Unity_WwiseProject\.cache\Windows\SFX\VOX_Banshee_Ono_07_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOX_Banshee\VOX_Banshee_Ono_07		7154
	14507213	SFX_Dig_01	F:\GitHub\HappyDeath_Unity\HappyDeath_Unity_WwiseProject\.cache\Windows\SFX\SFX_Dig\SFX_Dig_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Dig\SFX_Dig_01		97486
	32431148	SFX_MC_Footsteps_Dirt_01	F:\GitHub\HappyDeath_Unity\HappyDeath_Unity_WwiseProject\.cache\Windows\SFX\SFX_Footsteps\SFX_FootSteps_Dirt\SFX_MC_Footsteps_Dirt_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Footsteps\SFX_FootSteps_Dirt\SFX_MC_Footsteps_Dirt_01		25998
	39101262	SFX_MC_Footsteps_Grass_06	F:\GitHub\HappyDeath_Unity\HappyDeath_Unity_WwiseProject\.cache\Windows\SFX\SFX_Footsteps\SFX_Footsteps_Grass\SFX_MC_Footsteps_Grass_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Footsteps\SFX_Footsteps_Grass\SFX_MC_Footsteps_Grass_06		23046
	42662660	VOX_Banshee_Ono_13	F:\GitHub\HappyDeath_Unity\HappyDeath_Unity_WwiseProject\.cache\Windows\SFX\VOX_Banshee_Ono_13_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOX_Banshee\VOX_Banshee_Ono_13		7154
	50144844	SFX_UI_DENY_01	F:\GitHub\HappyDeath_Unity\HappyDeath_Unity_WwiseProject\.cache\Windows\SFX\SFX_UI_DENY_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\SFX_UI_Deny\SFX_UI_DENY_01		53032
	57643163	VOX_Wolf_Ono_04	F:\GitHub\HappyDeath_Unity\HappyDeath_Unity_WwiseProject\.cache\Windows\SFX\VOX_Wolf_Ono_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\VOX_Wolf\VOX_Wolf_Ono_04		6618
	74346846	SFX_MC_Footsteps_Dirt_08	F:\GitHub\HappyDeath_Unity\HappyDeath_Unity_WwiseProject\.cache\Windows\SFX\SFX_Footsteps\SFX_FootSteps_Dirt\SFX_MC_Footsteps_Dirt_08_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Footsteps\SFX_FootSteps_Dirt\SFX_MC_Footsteps_Dirt_08		24590
	120479730	SFX_MC_Footsteps_Wood_08	F:\GitHub\HappyDeath_Unity\HappyDeath_Unity_WwiseProject\.cache\Windows\SFX\SFX_Footsteps\SFX_Footsteps_Wood\SFX_MC_Footsteps_Wood_08_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Footsteps\SFX_Footsteps_Wood\SFX_MC_Footsteps_Wood_08		22296
